frame_number,man/woman,emotion,year,movie_name
85,man,angry,2017,naam_shabana
51,man,fear,2017,naam_shabana
118,woman,neutral,2017,naam_shabana
111,man,sad,2017,naam_shabana
132,man,sad,2017,naam_shabana
61,woman,angry,2017,naam_shabana
61,man,sad,2017,naam_shabana
131,woman,neutral,2017,naam_shabana
20,man,sad,2017,naam_shabana
71,man,angry,2017,naam_shabana
19,man,sad,2017,naam_shabana
55,man,angry,2017,naam_shabana
106,woman,sad,2017,naam_shabana
68,man,disgust,2017,naam_shabana
70,man,neutral,2017,naam_shabana
26,woman,sad,2017,naam_shabana
12,man,angry,2017,naam_shabana
49,woman,neutral,2017,naam_shabana
69,man,sad,2017,naam_shabana
67,man,sad,2017,naam_shabana
42,woman,sad,2017,naam_shabana
54,man,sad,2017,naam_shabana
135,woman,neutral,2017,naam_shabana
135,man,sad,2017,naam_shabana
56,man,fear,2017,naam_shabana
92,woman,angry,2017,naam_shabana
102,man,sad,2017,naam_shabana
110,man,sad,2017,naam_shabana
110,man,happy,2017,naam_shabana
66,man,neutral,2017,naam_shabana
84,man,angry,2017,naam_shabana
133,woman,neutral,2017,naam_shabana
27,woman,sad,2017,naam_shabana
82,man,sad,2017,naam_shabana
16,man,neutral,2017,naam_shabana
10,man,angry,2017,naam_shabana
119,woman,disgust,2017,naam_shabana
9,woman,neutral,2017,naam_shabana
32,man,sad,2017,naam_shabana
47,man,angry,2017,naam_shabana
48,man,neutral,2017,naam_shabana
48,man,sad,2017,naam_shabana
126,man,angry,2017,naam_shabana
130,woman,neutral,2017,naam_shabana
18,man,sad,2017,naam_shabana
