frame_number,man/woman,emotion,year,movie_name
62,woman,happy,2017,noor
61,woman,neutral,2017,noor
11,man,neutral,2017,noor
96,man,angry,2017,noor
120,woman,sad,2017,noor
55,man,neutral,2017,noor
107,man,surprise,2017,noor
107,woman,sad,2017,noor
68,woman,happy,2017,noor
49,man,neutral,2017,noor
69,woman,sad,2017,noor
67,woman,neutral,2017,noor
103,man,sad,2017,noor
116,woman,sad,2017,noor
33,man,angry,2017,noor
74,man,neutral,2017,noor
102,man,angry,2017,noor
110,woman,sad,2017,noor
37,man,happy,2017,noor
66,man,neutral,2017,noor
84,man,happy,2017,noor
77,man,neutral,2017,noor
119,woman,fear,2017,noor
50,man,fear,2017,noor
95,man,sad,2017,noor
101,man,fear,2017,noor
117,woman,neutral,2017,noor
97,man,sad,2017,noor
22,man,sad,2017,noor
6,man,fear,2017,noor
73,man,sad,2017,noor
23,woman,fear,2017,noor
