frame_number,man/woman,emotion,year,movie_name
93,man,sad,2017,partition_1947
85,woman,angry,2017,partition_1947
60,man,sad,2017,partition_1947
118,man,fear,2017,partition_1947
94,woman,neutral,2017,partition_1947
11,man,sad,2017,partition_1947
15,man,sad,2017,partition_1947
53,woman,sad,2017,partition_1947
142,woman,sad,2017,partition_1947
42,woman,neutral,2017,partition_1947
54,man,neutral,2017,partition_1947
138,woman,sad,2017,partition_1947
116,woman,sad,2017,partition_1947
143,woman,sad,2017,partition_1947
109,man,sad,2017,partition_1947
92,man,sad,2017,partition_1947
46,woman,surprise,2017,partition_1947
16,man,sad,2017,partition_1947
41,man,neutral,2017,partition_1947
10,man,sad,2017,partition_1947
81,man,sad,2017,partition_1947
9,man,sad,2017,partition_1947
47,man,neutral,2017,partition_1947
115,woman,sad,2017,partition_1947
99,man,neutral,2017,partition_1947
117,woman,sad,2017,partition_1947
105,man,sad,2017,partition_1947
43,man,neutral,2017,partition_1947
57,woman,sad,2017,partition_1947
57,man,angry,2017,partition_1947
57,woman,neutral,2017,partition_1947
23,man,neutral,2017,partition_1947
23,woman,angry,2017,partition_1947
139,woman,sad,2017,partition_1947
