frame_number,man/woman,emotion,year,movie_name
14,woman,happy,2017,phillauri
62,woman,fear,2017,phillauri
60,woman,neutral,2017,phillauri
60,man,neutral,2017,phillauri
132,man,neutral,2017,phillauri
58,woman,happy,2017,phillauri
58,woman,happy,2017,phillauri
58,man,happy,2017,phillauri
11,woman,neutral,2017,phillauri
11,woman,sad,2017,phillauri
147,woman,fear,2017,phillauri
128,man,sad,2017,phillauri
71,woman,fear,2017,phillauri
71,woman,sad,2017,phillauri
30,man,fear,2017,phillauri
15,man,angry,2017,phillauri
163,woman,happy,2017,phillauri
140,man,fear,2017,phillauri
149,woman,sad,2017,phillauri
55,man,disgust,2017,phillauri
55,woman,fear,2017,phillauri
59,woman,happy,2017,phillauri
59,man,happy,2017,phillauri
59,woman,happy,2017,phillauri
59,woman,sad,2017,phillauri
104,man,neutral,2017,phillauri
162,woman,happy,2017,phillauri
150,woman,neutral,2017,phillauri
12,woman,angry,2017,phillauri
63,woman,fear,2017,phillauri
165,woman,happy,2017,phillauri
67,woman,surprise,2017,phillauri
103,man,neutral,2017,phillauri
116,man,sad,2017,phillauri
56,woman,fear,2017,phillauri
56,woman,sad,2017,phillauri
33,man,surprise,2017,phillauri
109,woman,neutral,2017,phillauri
102,woman,sad,2017,phillauri
29,woman,neutral,2017,phillauri
164,woman,happy,2017,phillauri
151,man,sad,2017,phillauri
161,woman,happy,2017,phillauri
66,woman,surprise,2017,phillauri
13,man,happy,2017,phillauri
7,man,happy,2017,phillauri
133,woman,happy,2017,phillauri
146,woman,sad,2017,phillauri
16,man,happy,2017,phillauri
65,man,sad,2017,phillauri
10,woman,neutral,2017,phillauri
10,woman,angry,2017,phillauri
153,man,fear,2017,phillauri
50,man,sad,2017,phillauri
9,woman,happy,2017,phillauri
100,woman,happy,2017,phillauri
148,woman,fear,2017,phillauri
39,man,neutral,2017,phillauri
34,man,angry,2017,phillauri
43,woman,angry,2017,phillauri
6,man,happy,2017,phillauri
73,woman,neutral,2017,phillauri
152,man,sad,2017,phillauri
57,woman,fear,2017,phillauri
57,woman,fear,2017,phillauri
64,woman,fear,2017,phillauri
5,man,happy,2017,phillauri
72,woman,fear,2017,phillauri
72,woman,sad,2017,phillauri
