frame_number,man/woman,emotion,year,movie_name
122,man,fear,2017,poster_boys
122,man,surprise,2017,poster_boys
51,man,angry,2017,poster_boys
51,man,angry,2017,poster_boys
62,man,angry,2017,poster_boys
60,man,neutral,2017,poster_boys
118,man,happy,2017,poster_boys
111,man,angry,2017,poster_boys
111,man,neutral,2017,poster_boys
58,man,sad,2017,poster_boys
61,man,neutral,2017,poster_boys
44,woman,sad,2017,poster_boys
11,man,surprise,2017,poster_boys
131,woman,neutral,2017,poster_boys
88,man,sad,2017,poster_boys
88,woman,fear,2017,poster_boys
20,man,happy,2017,poster_boys
71,man,fear,2017,poster_boys
15,man,happy,2017,poster_boys
19,man,happy,2017,poster_boys
86,man,happy,2017,poster_boys
45,man,sad,2017,poster_boys
55,man,angry,2017,poster_boys
91,man,angry,2017,poster_boys
91,man,angry,2017,poster_boys
59,woman,sad,2017,poster_boys
104,man,neutral,2017,poster_boys
106,man,surprise,2017,poster_boys
106,man,happy,2017,poster_boys
90,man,angry,2017,poster_boys
90,man,angry,2017,poster_boys
145,man,sad,2017,poster_boys
145,man,happy,2017,poster_boys
142,woman,surprise,2017,poster_boys
8,man,happy,2017,poster_boys
63,man,sad,2017,poster_boys
49,man,neutral,2017,poster_boys
49,man,neutral,2017,poster_boys
42,woman,sad,2017,poster_boys
103,woman,happy,2017,poster_boys
103,man,neutral,2017,poster_boys
89,woman,angry,2017,poster_boys
116,man,neutral,2017,poster_boys
56,man,angry,2017,poster_boys
33,man,angry,2017,poster_boys
74,man,sad,2017,poster_boys
74,man,neutral,2017,poster_boys
102,man,fear,2017,poster_boys
102,man,happy,2017,poster_boys
110,man,neutral,2017,poster_boys
110,man,neutral,2017,poster_boys
83,woman,sad,2017,poster_boys
83,man,happy,2017,poster_boys
84,man,angry,2017,poster_boys
82,man,happy,2017,poster_boys
82,man,fear,2017,poster_boys
141,man,sad,2017,poster_boys
16,man,happy,2017,poster_boys
10,woman,neutral,2017,poster_boys
119,man,angry,2017,poster_boys
50,man,neutral,2017,poster_boys
50,man,neutral,2017,poster_boys
113,man,happy,2017,poster_boys
9,man,happy,2017,poster_boys
127,man,neutral,2017,poster_boys
127,man,surprise,2017,poster_boys
127,man,neutral,2017,poster_boys
137,man,angry,2017,poster_boys
115,man,sad,2017,poster_boys
101,woman,happy,2017,poster_boys
101,man,neutral,2017,poster_boys
99,man,happy,2017,poster_boys
117,man,angry,2017,poster_boys
117,man,neutral,2017,poster_boys
97,man,angry,2017,poster_boys
97,man,angry,2017,poster_boys
105,man,happy,2017,poster_boys
43,woman,angry,2017,poster_boys
21,man,happy,2017,poster_boys
114,man,fear,2017,poster_boys
22,man,happy,2017,poster_boys
6,man,neutral,2017,poster_boys
6,woman,sad,2017,poster_boys
73,man,sad,2017,poster_boys
57,woman,fear,2017,poster_boys
112,man,neutral,2017,poster_boys
112,man,fear,2017,poster_boys
72,man,angry,2017,poster_boys
72,man,fear,2017,poster_boys
23,man,happy,2017,poster_boys
75,man,happy,2017,poster_boys
75,woman,happy,2017,poster_boys
80,man,happy,2017,poster_boys
