frame_number,man/woman,emotion,year,movie_name
85,woman,happy,2017,raabta
28,woman,fear,2017,raabta
44,man,happy,2017,raabta
20,woman,neutral,2017,raabta
125,man,neutral,2017,raabta
45,man,angry,2017,raabta
36,woman,happy,2017,raabta
26,man,neutral,2017,raabta
49,woman,fear,2017,raabta
42,woman,fear,2017,raabta
54,man,fear,2017,raabta
102,man,neutral,2017,raabta
37,woman,sad,2017,raabta
83,man,angry,2017,raabta
77,woman,fear,2017,raabta
27,man,sad,2017,raabta
27,woman,angry,2017,raabta
82,man,angry,2017,raabta
24,woman,sad,2017,raabta
46,man,sad,2017,raabta
81,woman,disgust,2017,raabta
9,woman,happy,2017,raabta
47,man,neutral,2017,raabta
48,man,neutral,2017,raabta
126,man,neutral,2017,raabta
34,woman,happy,2017,raabta
34,woman,surprise,2017,raabta
43,woman,fear,2017,raabta
73,man,sad,2017,raabta
23,man,happy,2017,raabta
80,man,fear,2017,raabta
