frame_number,man/woman,emotion,year,movie_name
93,man,sad,2017,runningshaadi
93,woman,happy,2017,runningshaadi
122,woman,sad,2017,runningshaadi
28,man,neutral,2017,runningshaadi
51,man,neutral,2017,runningshaadi
60,man,angry,2017,runningshaadi
58,woman,sad,2017,runningshaadi
58,man,neutral,2017,runningshaadi
44,woman,sad,2017,runningshaadi
3,man,angry,2017,runningshaadi
71,man,angry,2017,runningshaadi
71,man,angry,2017,runningshaadi
30,man,neutral,2017,runningshaadi
15,man,neutral,2017,runningshaadi
15,man,neutral,2017,runningshaadi
125,man,sad,2017,runningshaadi
108,man,angry,2017,runningshaadi
45,man,neutral,2017,runningshaadi
2,woman,neutral,2017,runningshaadi
91,man,sad,2017,runningshaadi
91,man,sad,2017,runningshaadi
106,man,angry,2017,runningshaadi
52,man,neutral,2017,runningshaadi
90,man,sad,2017,runningshaadi
90,man,neutral,2017,runningshaadi
38,man,neutral,2017,runningshaadi
26,man,neutral,2017,runningshaadi
26,woman,angry,2017,runningshaadi
26,man,angry,2017,runningshaadi
53,man,neutral,2017,runningshaadi
63,woman,sad,2017,runningshaadi
49,woman,neutral,2017,runningshaadi
69,man,angry,2017,runningshaadi
69,man,neutral,2017,runningshaadi
102,woman,fear,2017,runningshaadi
29,man,neutral,2017,runningshaadi
37,man,neutral,2017,runningshaadi
1,woman,fear,2017,runningshaadi
27,man,sad,2017,runningshaadi
24,man,neutral,2017,runningshaadi
46,man,neutral,2017,runningshaadi
65,woman,neutral,2017,runningshaadi
50,man,neutral,2017,runningshaadi
123,woman,neutral,2017,runningshaadi
9,man,sad,2017,runningshaadi
39,man,neutral,2017,runningshaadi
47,woman,neutral,2017,runningshaadi
48,man,happy,2017,runningshaadi
95,man,neutral,2017,runningshaadi
101,woman,happy,2017,runningshaadi
78,man,sad,2017,runningshaadi
43,man,neutral,2017,runningshaadi
6,man,fear,2017,runningshaadi
124,man,neutral,2017,runningshaadi
23,woman,sad,2017,runningshaadi
25,man,neutral,2017,runningshaadi
25,man,happy,2017,runningshaadi
