frame_number,man/woman,emotion,year,movie_name
4,man,happy,2017,sachin:_a_billion_dreams
71,man,angry,2017,sachin:_a_billion_dreams
19,man,neutral,2017,sachin:_a_billion_dreams
76,man,angry,2017,sachin:_a_billion_dreams
55,man,neutral,2017,sachin:_a_billion_dreams
55,man,neutral,2017,sachin:_a_billion_dreams
55,man,sad,2017,sachin:_a_billion_dreams
52,woman,neutral,2017,sachin:_a_billion_dreams
56,woman,sad,2017,sachin:_a_billion_dreams
56,man,angry,2017,sachin:_a_billion_dreams
56,man,neutral,2017,sachin:_a_billion_dreams
56,man,happy,2017,sachin:_a_billion_dreams
83,woman,angry,2017,sachin:_a_billion_dreams
83,man,sad,2017,sachin:_a_billion_dreams
87,man,happy,2017,sachin:_a_billion_dreams
82,man,neutral,2017,sachin:_a_billion_dreams
80,man,neutral,2017,sachin:_a_billion_dreams
80,man,angry,2017,sachin:_a_billion_dreams
