frame_number,man/woman,emotion,year,movie_name
93,man,sad,2017,secret_superstar
28,man,sad,2017,secret_superstar
51,woman,neutral,2017,secret_superstar
62,man,sad,2017,secret_superstar
118,man,happy,2017,secret_superstar
118,man,happy,2017,secret_superstar
118,woman,happy,2017,secret_superstar
118,woman,happy,2017,secret_superstar
132,man,angry,2017,secret_superstar
94,woman,happy,2017,secret_superstar
58,woman,sad,2017,secret_superstar
61,woman,fear,2017,secret_superstar
44,man,neutral,2017,secret_superstar
131,man,neutral,2017,secret_superstar
147,man,sad,2017,secret_superstar
128,woman,neutral,2017,secret_superstar
20,man,sad,2017,secret_superstar
71,woman,sad,2017,secret_superstar
76,man,happy,2017,secret_superstar
149,man,angry,2017,secret_superstar
86,man,sad,2017,secret_superstar
55,woman,sad,2017,secret_superstar
91,man,sad,2017,secret_superstar
52,woman,sad,2017,secret_superstar
150,man,angry,2017,secret_superstar
68,woman,neutral,2017,secret_superstar
90,man,sad,2017,secret_superstar
26,man,sad,2017,secret_superstar
53,woman,sad,2017,secret_superstar
145,woman,angry,2017,secret_superstar
63,woman,fear,2017,secret_superstar
49,woman,happy,2017,secret_superstar
69,woman,surprise,2017,secret_superstar
67,man,sad,2017,secret_superstar
54,woman,sad,2017,secret_superstar
40,woman,angry,2017,secret_superstar
56,woman,sad,2017,secret_superstar
33,woman,neutral,2017,secret_superstar
143,man,angry,2017,secret_superstar
74,woman,happy,2017,secret_superstar
92,man,sad,2017,secret_superstar
129,woman,surprise,2017,secret_superstar
151,man,angry,2017,secret_superstar
66,man,disgust,2017,secret_superstar
144,woman,happy,2017,secret_superstar
27,man,angry,2017,secret_superstar
146,man,sad,2017,secret_superstar
87,man,angry,2017,secret_superstar
24,man,angry,2017,secret_superstar
65,man,sad,2017,secret_superstar
50,woman,sad,2017,secret_superstar
123,woman,sad,2017,secret_superstar
148,man,happy,2017,secret_superstar
32,woman,happy,2017,secret_superstar
127,woman,neutral,2017,secret_superstar
126,man,neutral,2017,secret_superstar
95,man,sad,2017,secret_superstar
43,man,sad,2017,secret_superstar
21,man,angry,2017,secret_superstar
22,man,angry,2017,secret_superstar
57,woman,angry,2017,secret_superstar
124,man,fear,2017,secret_superstar
23,man,neutral,2017,secret_superstar
25,man,neutral,2017,secret_superstar
31,woman,neutral,2017,secret_superstar
