frame_number,man/woman,emotion,year,movie_name
14,man,fear,2017,tubelight
14,man,happy,2017,tubelight
14,man,neutral,2017,tubelight
14,man,angry,2017,tubelight
14,woman,angry,2017,tubelight
51,man,disgust,2017,tubelight
118,woman,fear,2017,tubelight
58,man,happy,2017,tubelight
20,man,happy,2017,tubelight
20,man,fear,2017,tubelight
15,man,happy,2017,tubelight
15,man,fear,2017,tubelight
15,woman,angry,2017,tubelight
140,man,sad,2017,tubelight
59,woman,sad,2017,tubelight
104,man,angry,2017,tubelight
52,man,sad,2017,tubelight
68,man,happy,2017,tubelight
68,man,neutral,2017,tubelight
142,man,sad,2017,tubelight
42,man,angry,2017,tubelight
54,man,happy,2017,tubelight
138,man,sad,2017,tubelight
56,man,happy,2017,tubelight
110,man,angry,2017,tubelight
82,man,angry,2017,tubelight
141,man,sad,2017,tubelight
16,woman,happy,2017,tubelight
16,woman,angry,2017,tubelight
17,man,happy,2017,tubelight
81,man,angry,2017,tubelight
100,man,angry,2017,tubelight
78,man,sad,2017,tubelight
22,man,happy,2017,tubelight
22,man,neutral,2017,tubelight
22,man,happy,2017,tubelight
73,man,angry,2017,tubelight
130,man,angry,2017,tubelight
79,man,angry,2017,tubelight
139,man,sad,2017,tubelight
80,man,angry,2017,tubelight
80,man,sad,2017,tubelight
