frame_number,man/woman,emotion,year,movie_name
14,man,fear,2017,tumhari_sulu
28,man,neutral,2017,tumhari_sulu
62,man,fear,2017,tumhari_sulu
62,woman,fear,2017,tumhari_sulu
60,man,happy,2017,tumhari_sulu
60,woman,fear,2017,tumhari_sulu
58,man,neutral,2017,tumhari_sulu
58,man,neutral,2017,tumhari_sulu
61,woman,surprise,2017,tumhari_sulu
61,woman,fear,2017,tumhari_sulu
44,man,happy,2017,tumhari_sulu
11,woman,happy,2017,tumhari_sulu
30,man,neutral,2017,tumhari_sulu
15,man,fear,2017,tumhari_sulu
55,man,happy,2017,tumhari_sulu
55,man,neutral,2017,tumhari_sulu
35,man,neutral,2017,tumhari_sulu
36,man,neutral,2017,tumhari_sulu
59,man,sad,2017,tumhari_sulu
59,man,neutral,2017,tumhari_sulu
52,man,neutral,2017,tumhari_sulu
52,man,happy,2017,tumhari_sulu
52,man,happy,2017,tumhari_sulu
68,woman,angry,2017,tumhari_sulu
68,man,sad,2017,tumhari_sulu
38,man,neutral,2017,tumhari_sulu
53,man,neutral,2017,tumhari_sulu
53,woman,happy,2017,tumhari_sulu
53,woman,happy,2017,tumhari_sulu
12,woman,fear,2017,tumhari_sulu
8,woman,happy,2017,tumhari_sulu
8,man,angry,2017,tumhari_sulu
63,man,neutral,2017,tumhari_sulu
63,man,fear,2017,tumhari_sulu
49,man,neutral,2017,tumhari_sulu
67,man,neutral,2017,tumhari_sulu
67,man,fear,2017,tumhari_sulu
54,woman,happy,2017,tumhari_sulu
54,man,neutral,2017,tumhari_sulu
40,man,happy,2017,tumhari_sulu
56,man,neutral,2017,tumhari_sulu
56,man,neutral,2017,tumhari_sulu
33,man,sad,2017,tumhari_sulu
29,man,neutral,2017,tumhari_sulu
37,man,neutral,2017,tumhari_sulu
66,man,neutral,2017,tumhari_sulu
66,woman,fear,2017,tumhari_sulu
13,woman,angry,2017,tumhari_sulu
1,woman,happy,2017,tumhari_sulu
7,man,fear,2017,tumhari_sulu
7,man,neutral,2017,tumhari_sulu
0,man,happy,2017,tumhari_sulu
65,man,neutral,2017,tumhari_sulu
65,woman,fear,2017,tumhari_sulu
10,man,happy,2017,tumhari_sulu
10,man,sad,2017,tumhari_sulu
10,man,happy,2017,tumhari_sulu
50,woman,neutral,2017,tumhari_sulu
9,man,sad,2017,tumhari_sulu
9,man,happy,2017,tumhari_sulu
9,woman,happy,2017,tumhari_sulu
39,man,happy,2017,tumhari_sulu
32,man,neutral,2017,tumhari_sulu
47,man,neutral,2017,tumhari_sulu
48,man,neutral,2017,tumhari_sulu
34,man,sad,2017,tumhari_sulu
57,woman,neutral,2017,tumhari_sulu
57,man,neutral,2017,tumhari_sulu
64,man,neutral,2017,tumhari_sulu
64,man,fear,2017,tumhari_sulu
5,man,happy,2017,tumhari_sulu
23,woman,happy,2017,tumhari_sulu
18,man,happy,2017,tumhari_sulu
31,man,neutral,2017,tumhari_sulu
