Movie Name, Cast Name, Total Centrality, Average Centrality
Aan Milo Sajna,woman,222.5,18.541666666666668
Aan Milo Sajna,savitri,868.1666666666666,6.627226463104326
Aan Milo Sajna,deepali,0.0,0.0
Abhinetri,anjana,319.0,4.037974683544304
Aag Aur Shola,usha,48.0,0.8888888888888888
Aakhree Raasta,mary,256.0,1.8823529411764706
Aap Ke Saath,deepa,60.0,3.5294117647058822
Aap Ke Saath,ganga,280.5,7.791666666666667
Chetna,seema,227.50000000000003,1.3382352941176472
Chetna,dhawan,120.83333333333333,3.897849462365591
Adhikar,mother,242.33333333333331,7.3434343434343425
Adhikar,jyoti,52.75,0.6133720930232558
Aisa Pyaar Kahan,saritha,0.0,0.0
Aisa Pyaar Kahan,pooja,41.0,1.1388888888888888
Amrit (film),nurse,0.0,0.0
Amrit (film),sunita,408.3333333333333,7.561728395061728
Amrit (film),kamla,1007.6666666666666,6.107070707070707
Angaaray,mother,0.0,0.0
Angaaray,hirabai,20.0,2.857142857142857
Angaaray,aarti,431.0,3.652542372881356
Dharti,daughter,16.0,3.2
Ankush,anita,164.0,6.3076923076923075
Anokha Rishta,dr.,0.0,0.0
Anokha Rishta,beena,0.0,0.0
Anokha Rishta,woman,20.0,4.0
Anokha Rishta,padma,415.0,1.8693693693693694
Anokha Rishta,mother,42.0,0.09417040358744394
Anokha Rishta,superior,4550.694033744033,12.135184089984088
Anokha Rishta,alex,77.0,0.7623762376237624
Anokha Rishta,sister,194.11666666666676,2.854656862745099
Anubhav,gauri,803.2333333333333,4.249911816578483
Asli Naqli,laxmi,0.0,0.0
Asli Naqli,seth,0.0,0.0
Geet,janki,220.16666666666666,3.931547619047619
Geet,kamla,203.0,0.9103139013452914
Geet,sister,64.5,2.8043478260869565
Baat Ban Jaye,aman,65.0,2.4074074074074074
Baat Ban Jaye,nisha,133.0,8.866666666666667
Bhagwaan Dada,woman,305.4666666666666,7.450406504065039
Bhagwaan Dada,geeta,232.33333333333331,2.5814814814814815
Bhagwaan Dada,mother,180.0,6.666666666666667
Bhagwaan Dada,bijli,2040.5333333333335,6.870482603815938
Bhagwaan Dada,sister,556.75,11.845744680851064
Chameli Ki Shaadi,chameli,638.8476190476191,13.0377065111759
Dharm Adhikari,sudha,36.0,1.565217391304348
Dharm Adhikari,savitri,91.0,2.5277777777777777
Dharm Adhikari,daughter,321.66666666666663,6.992753623188405
Dilwaala,kamla,68.5,6.85
Dosti Dushmani,lata,68.0,1.3333333333333333
Dosti Dushmani,rekha,244.0,5.545454545454546
Himmat,malti,0.0,0.0
Ek Chadar Maili Si,mother,46.4,3.0933333333333333
Ek Chadar Maili Si,woman,96.0,6.0
Ek Chadar Maili Si,girl,327.5,7.987804878048781
Humjoli,ranibala,60.0,2.2222222222222223
Humjoli,shyama,107.5,3.161764705882353
Genesis,woman,153.5,4.796875
Ghar Sansar,mother,8.0,4.0
Ghar Sansar,radhika,64.0,1.6
Ghar Sansar,daughter,1029.0666666666666,14.493896713615023
Ishq Par Zor Nahin,sushma,184.5,1.6772727272727272
Ilzaam,aarti,143.35,1.3273148148148148
Ilzaam,sister,784.3333333333333,17.050724637681157
Jawab,sister,42.0,1.9090909090909092
Jaal,woman,444.0,17.76
Jeevan Mrityu,deepa,27.0,0.5094339622641509
Janbaaz,reshma,417.5,4.348958333333333
Johny Mera Naam,heera,0.0,0.0
Khilona,chand,319.0,2.680672268907563
Khilona,radha,118.5,1.5192307692307692
Maa Aur Mamta,mary,140.5,2.650943396226415
Maa Aur Mamta,girl,84.0,4.0
Maa Aur Mamta,maya,541.3333333333334,3.894484412470024
Maa Aur Mamta,mrs.,0.0,0.0
Maa Aur Mamta,victor,42.0,1.2727272727272727
Maa Aur Mamta,daughter,167.33333333333334,6.435897435897436
Man Ki Aankhen,mother,105.13333333333334,4.3805555555555555
Man Ki Aankhen,geeta,231.7,6.097368421052631
Krishna-Krishna,mother,0.0,0.0
Krishna-Krishna,daughter,72.0,7.2
Love 86,laxmidevi,261.0,9.666666666666666
Love 86,esha,0.0,0.0
Love 86,girl,0.0,0.0
Love 86,leena,32.0,1.032258064516129
Love and God,mother,28.0,2.8
Love and God,laila,565.0,2.6401869158878504
