Aag Aur Daag;0;0;0;[];[];[];1;1

Aan Milo Sajna;4;1;2;[u'Diwan', u'Savitri', u'Deepali', u'Anil'];[u'Anil'];[u'Savitri', u'Deepali'];1;0

Aansoo Aur Muskan;0;0;0;[];[];[];1;0

Abhinetri;3;1;1;[u'Assistant', u'Shekar', u'Anjana'];[u'Assistant'];[u'Anjana'];1;1

Bachpan;6;4;0;[u'Kashi', u'the', u'Tom', u'Nekichand', u'Rahim', u'Ram'];[u'the', u'Tom', u'Rahim', u'Ram'];[];1;0

Bhagwan Parshuram;0;0;0;[];[];[];1;1

Bhai-Bhai;0;0;0;[];[];[];0;0
Bombay Talkie;2;1;1;[u'Lucia', u'Vikram'];[u'Vikram'];[u'Lucia'];1;1

Chetna;4;3;1;[u'actor', u'Seema', u'Ramesh', u'Anil'];[u'actor', u'Ramesh', u'Anil'];[u'Seema'];1;1

Choron Ka Chor;0;0;0;[];[];[];0;0
Darpan;0;0;0;[];[];[];1;0

Dastak;0;0;0;[];[];[];1;0

Devi;0;0;0;[];[];[];1;0

Dharti;5;2;0;[u'Diwan', u'the', u'Chandrashekhar', u'Vasantpur', u'Bharat'];[u'Chandrashekhar', u'Bharat'];[];1;1

Ehsan;0;0;0;[];[];[];0;0
Ek Nanhi Munni Ladki Thi;0;0;0;[];[];[];0;0
Ganwaar;0;0;0;[];[];[];1;0

Geet;6;1;2;[u'Kunver', u'Sarju', u'Delhi', u'Kamla', u'Janki', u'Shamsher'];[u'Shamsher'];[u'Kamla', u'Janki'];0;0
Ghar Ghar Ki Kahani;3;2;0;[u'Raja', u'Ravi', u'Shankarnath'];[u'Raja', u'Ravi'];[];1;0

Gopi;0;0;0;[];[];[];1;1

Gunah Aur Kanoon;0;0;0;[];[];[];0;0
Heer Raanjha;0;0;0;[];[];[];1;1

Himmat;6;5;0;[u'Raghu', u'Malti', u'Mathur', u'Inspector', u'Police', u'Tiger'];[u'Raghu', u'Mathur', u'Inspector', u'Police', u'Tiger'];[];1;1

Holi Ayee Re;0;0;0;[];[];[];0;0
Humjoli;5;0;2;[u'Village-based', u'Roopa', u'Shyama', u'Gopalnath', u'Ranibala'];[];[u'Roopa', u'Shyama'];1;1

Insaan Aur Shaitan;0;0;0;[];[];[];0;0
Inspector;0;0;0;[];[];[];0;0
Ishq Par Zor Nahin;3;2;1;[u'Amar', u'Sushma', u'Ram'];[u'Amar', u'Ram'];[u'Sushma'];0;0
Jawab;4;4;0;[u'Raja', u'Sagar', u'Bajrangi', u'Zamindar'];[u'Raja', u'Sagar', u'Bajrangi', u'Zamindar'];[];1;1

Jeevan Mrityu;2;1;1;[u'Deepa', u'Ashok'];[u'Ashok'];[u'Deepa'];0;0
Johny Mera Naam;0;0;0;[];[];[];0;0
Kab? Kyoon? Aur Kahan?;0;0;0;[];[];[];0;0
Kati Patang;10;2;4;[u'the', u'Dinanath', u'Mrs.', u'Shabnam', u'Madhu', u'Munna', u'Madhavi', u'Kamal', u'Kailash', u'Poonam'];[u'Munna', u'Kamal'];[u'the', u'Mrs.', u'Madhavi', u'Poonam'];1;1

Khilona;8;6;1;[u'Vijaykamal', u'Mohan', u'Vijay', u'Chand', u'Thakur', u'Sapna', u'Bihari', u'Radha'];[u'Mohan', u'Vijay', u'Chand', u'Thakur', u'Sapna', u'Bihari'];[u'Radha'];0;0
Maa Aur Mamta;9;6;3;[u'Victor', u'Bothe', u'Williams', u'Cassim', u'Mrs.', u'Maya', u'Father', u'Ram', u'Mary'];[u'Victor', u'Bothe', u'Williams', u'Cassim', u'Father', u'Ram'];[u'Mrs.', u'Maya', u'Mary'];0;0
Maa Ka Aanchal;0;0;0;[];[];[];0;0
Maharaja;0;0;0;[];[];[];1;1

Man Ki Aankhen;2;1;1;[u'Geeta', u'Rajesh'];[u'Rajesh'];[u'Geeta'];1;1

Mera Naam Joker;0;0;0;[];[];[];0;0
Mere Humsafar;4;3;0;[u'Tarna', u'Ustad', u'bewildered', u'Raju'];[u'Ustad', u'bewildered', u'Raju'];[];1;1

Moojrim;0;0;0;[];[];[];0;0
My Love;0;0;0;[];[];[];0;0
Naya Raasta;0;0;0;[];[];[];1;0

Pagla Kahin Ka;6;4;2;[u'Shyam', u'Max', u'Sujit', u'Ajit', u'Jenny', u'Helen'];[u'Shyam', u'Max', u'Sujit', u'Ajit'];[u'Jenny', u'Helen'];0;0
Pardesi;0;0;0;[];[];[];1;1

Pavitra Paapi;7;2;2;[u'Kedarnath', u'Delhi', u'Veena', u'Maya', u'Kedar', u'Pannalal', u'Lala'];[u'Delhi', u'Kedar'];[u'Veena', u'Maya'];1;1

Pehchan;0;0;0;[];[];[];1;0

Prem Pujari;1;1;0;[u'Lieutenant'];[u'Lieutenant'];[];1;1

Purab Aur Paschim;0;0;0;[];[];[];1;1

Puraskar;0;0;0;[];[];[];1;1

Pushpanjali;0;0;0;[];[];[];1;1

Raaton Ka Raja;0;0;0;[];[];[];0;0
Rootha Na Karo;5;2;3;[u'Naina', u'Neeta', u'Sudheer', u'Reeta', u'Sudhir'];[u'Sudheer', u'Sudhir'];[u'Naina', u'Neeta', u'Reeta'];1;1

Saas Bhi Kabhi Bahu Thi;0;0;0;[];[];[];0;0
Sachaa Jhutha;9;4;1;[u'Pradhan', u'Rita', u'Mothy', u'Belu', u'Bombay', u'Ranjith', u'Inspector', u'Bhola', u'Ruby'];[u'Pradhan', u'Ranjith', u'Inspector', u'Bhola'];[u'Rita'];1;1

Safar (film);5;3;0;[u'Avinash', u'Shekhar', u'Dr.Chandra', u'Neela', u'Kalidas'];[u'Avinash', u'Shekhar', u'Neela'];[];0;0
Samaj Ko Badal Dalo;0;0;0;[];[];[];0;0
Sampoorna Teerth Yatra;0;0;0;[];[];[];0;0
Sawan Bhadon;10;3;5;[u'traps', u'a', u'Sulochana', u'Chanda', u'Vinodh', u'her', u'Madan', u'Vikam', u'Dolly', u'Vikram'];[u'Chanda', u'Madan', u'Vikram'];[u'traps', u'a', u'Sulochana', u'her', u'Dolly'];1;0

Sharafat;0;0;0;[];[];[];1;0

Soldier Thakur Daler Singh;0;0;0;[];[];[];0;0
Suhana Safar;3;1;1;[u'Ujjwala', u'Sunil', u'Sapna'];[u'Sunil'];[u'Sapna'];0;0
The Train;0;0;0;[];[];[];1;1

Truck Driver;0;0;0;[];[];[];0;0
Tum Haseen Main Jawaan;2;1;1;[u'Anuradha', u'Sunil'];[u'Sunil'];[u'Anuradha'];0;0
Yaadgaar;0;0;0;[];[];[];1;1

Aap Aye Bahaar Ayee;4;2;1;[u'Rohit', u'Kumar', u'Whiskey', u'Neena'];[u'Rohit', u'Kumar'];[u'Neena'];1;1

Adhikar;0;0;0;[];[];[];0;0
Albela;0;0;0;[];[];[];1;1

Amar Prem;3;2;1;[u'Pushpa', u'Nandu', u'Anand'];[u'Nandu', u'Anand'];[u'Pushpa'];1;1

Anand;3;2;0;[u'Bhaskar', u'Kulkarni', u'Anand'];[u'Kulkarni', u'Anand'];[];1;0

Andaz;6;3;1;[u'Hema', u'Shammi', u'Andaz', u'Rajesh', u'Ajit', u'Jaikishan'];[u'Shammi', u'Rajesh', u'Ajit'];[u'Hema'];1;1

Anubhav;3;1;0;[u'Shashi', u'Amar', u'Meeta'];[u'Amar'];[];0;0
Badnam Basti;0;0;0;[];[];[];0;0
Badnam Farishte;0;0;0;[];[];[];0;0
Balidaan;0;0;0;[];[];[];0;0
Banphool;4;2;0;[u'Raja', u'Gulabi', u'Haria', u'Ajay'];[u'Raja', u'Ajay'];[];1;1

Beharoopia;0;0;0;[];[];[];0;0
Bikhare Moti;5;2;2;[u'Gopi', u'Sulochana', u'Fate', u'Anand', u'Leela'];[u'Gopi', u'Anand'];[u'Sulochana', u'Leela'];1;1

Buddha Mil Gaya;3;2;0;[u'Girdharilal', u'Bhola', u'Ajay'];[u'Bhola', u'Ajay'];[];1;1

Caravan;4;2;2;[u'Mohandas', u'Rajan', u'Sunita', u'Nisha'];[u'Mohandas', u'Rajan'];[u'Sunita', u'Nisha'];1;1

Chaahat;4;3;1;[u'Geeta', u'Arun', u'Ashok', u'Father'];[u'Arun', u'Ashok', u'Father'];[u'Geeta'];1;1

Chhoti Bahu;8;2;2;[u'Niku', u'Gopi', u'Sita', u'Shriram', u'Madhu', u'Paro', u'Frightened', u'Radha'];[u'Gopi', u'Frightened'];[u'Shriram', u'Radha'];1;1

Do Boond Pani;2;2;0;[u'Mangal', u'Ganga'];[u'Mangal', u'Ganga'];[];1;1

Do Raha;0;0;0;[];[];[];0;0
Door Ka Raahi;0;0;0;[];[];[];0;0
Dost Aur Dushman;0;0;0;[];[];[];0;0
Dushman;10;3;1;[u'the', u'Phoolmati', u'Chamelibai', u'Kamla', u'Malti', u'Ganga', u'Police', u'Surjit', u'Judge', u'Ram'];[u'Ganga', u'Surjit', u'Judge'];[u'Kamla'];1;1

Ek Nari Ek Brahmachari;7;4;1;[u'Rajkumar', u'Mohan', u'Chaudhary', u'Surajbhan', u'Raisaheb', u'Rajlaxmi', u'Neena'];[u'Rajkumar', u'Mohan', u'Chaudhary', u'Raisaheb'];[u'Neena'];1;0

Ek Paheli;8;4;2;[u'Piano', u'Sudheer', u'Shankarlal', u'Rocky', u'Rosy', u'Maria', u'Sudhir', u'Dr'];[u'Sudheer', u'Rocky', u'Sudhir', u'Dr'];[u'Rosy', u'Maria'];1;1

Elaan;8;5;1;[u'Boss', u'Shyam', u'Mr.', u'CBI', u'Naresh', u'Mala', u'Lily', u'Ram'];[u'Boss', u'Shyam', u'Mr.', u'Naresh', u'Ram'];[u'Lily'];1;1

Ek Thi Reeta;0;0;0;[];[];[];0;0
Gambler;0;0;0;[];[];[];0;0

Ganga Tera Pani Amrit;0;0;0;[];[];[];1;1

Guddi;3;1;1;[u'Navin', u'Guddi', u'Dharmendra'];[u'Dharmendra'];[u'Guddi'];0;0
Haathi Mere Saathi;3;2;1;[u'Ramu', u'Tanu', u'Raju'];[u'Ramu', u'Raju'];[u'Tanu'];0;0
Hare Rama Hare Krishna;7;2;1;[u'Janice', u'Kathmandu', u'Drona', u'Michael', u'Prashant', u'Jasbir', u'Shanti'];[u'Michael', u'Prashant'];[u'Janice'];0;0
Haseenon Ka Devata;0;0;0;[];[];[];1;0

Hulchul;5;3;1;[u'Kumar', u'Kitty', u'Mahesh', u'Peter', u'Jetley'];[u'Kumar', u'Mahesh', u'Peter'];[u'Kitty'];0;0
Hum Tum Aur Woh;0;0;0;[];[];[];0;0
Hungama;0;0;0;[];[];[];1;1

Jaane-Anjaane;0;0;0;[];[];[];1;1

Jai Bangladesh;0;0;0;[];[];[];1;1

Jai Jawan Jai Makan;0;0;0;[];[];[];0;0
Jal Bin Machhli Nritya Bin Bijli;3;1;0;[u'Rajkumar', u'Kailash', u'Alaknanda'];[u'Rajkumar'];[];0;0
Jawan Mohabbat;0;0;0;[];[];[];0;0
Johar Mehmood in Hong Kong;0;0;0;[];[];[];0;0
Jwala;0;0;0;[];[];[];1;0

Kabhi Dhoop Kabhi Chhaon;0;0;0;[];[];[];0;0
Kahin Aar Kahin Paar;0;0;0;[];[];[];0;0
Kal Aaj Aur Kal;4;4;0;[u'Diwan', u'Bahadur', u'Rajesh', u'Ram'];[u'Diwan', u'Bahadur', u'Rajesh', u'Ram'];[];0;0
Kangan;0;0;0;[];[];[];0;0
Kathputli;3;2;1;[u'Will', u'Nisha', u'Vishal'];[u'Will', u'Vishal'];[u'Nisha'];1;1

Ladki Pasand Hai;0;0;0;[];[];[];1;0

Lakhon Mein Ek;0;0;0;[];[];[];1;0

Lal Patthar;4;2;0;[u'Raja', u'Kumar', u'Saudamani', u'Sumita'];[u'Raja', u'Kumar'];[];0;0
Main Sunder Hoon;6;4;1;[u'Amar', u'Sunder', u'Heartbroken', u'day', u'Radha', u'Ram'];[u'Amar', u'Sunder', u'Heartbroken', u'Ram'];[u'Radha'];0;0
Man Mandir;0;0;0;[];[];[];0;0
Man Tera Tan Mera;0;0;0;[];[];[];0;0
Maryada;0;0;0;[];[];[];1;1

Mehboob Ki Mehndi;4;3;0;[u'Khairuddin', u'Yusuf', u'Shabana', u'Nawab'];[u'Khairuddin', u'Yusuf', u'Nawab'];[];1;0

Mela;0;0;0;[];[];[];1;1

Memsaab;0;0;0;[];[];[];1;1

Mera Gaon Mera Desh;0;0;0;[];[];[];1;0

Mere Apne;1;0;1;[u'Anandi'];[];[u'Anandi'];1;0

Naya Zamana;0;0;0;[];[];[];0;0
Paras;0;0;0;[];[];[];0;0
Paraya Dhan;0;0;0;[];[];[];0;0
Parde Ke Peechey;0;0;0;[];[];[];1;1

Parwana;4;3;1;[u'Kumar', u'Asha', u'Mr.', u'Rajesh'];[u'Kumar', u'Mr.', u'Rajesh'];[u'Asha'];1;1

Patanga;9;5;2;[u'Ramu', u'Amar', u'Shyam', u'Kamla', u'Kuldeep', u'Kuwar', u'Chandan', u'Rajkumari', u'Renu'];[u'Ramu', u'Amar', u'Shyam', u'Kuwar', u'Chandan'];[u'Kamla', u'Renu'];1;1

Phir Bhi;0;0;0;[];[];[];0;0
Preet Ki Dori;0;0;0;[];[];[];1;0

Preetam;0;0;0;[];[];[];0;0
Pyar Ki Kahani;4;2;2;[u'Ravi', u'Lata', u'Kusum', u'Ram'];[u'Ravi', u'Ram'];[u'Lata', u'Kusum'];1;1

Rakhwala;0;0;0;[];[];[];1;1

Ramu Ustad;0;0;0;[];[];[];0;0
Reshma Aur Shera;0;0;0;[];[];[];1;1

Saat Sawal;0;0;0;[];[];[];1;1

Saaz Aur Sanam;0;0;0;[];[];[];0;0
Sanjog;3;1;2;[u'Mohan', u'Asha', u'Seema'];[u'Mohan'];[u'Asha', u'Seema'];0;0
Sansar;0;0;0;[];[];[];0;0
Seema;0;0;0;[];[];[];0;0
Sharmeelee;4;3;0;[u'Josephaccompanies', u'Ajit', u'Captain', u'Kanchan'];[u'Josephaccompanies', u'Ajit', u'Captain'];[];0;0
Shri Krishna Leela;5;3;1;[u'the', u'Raja', u'Krishna', u'Devaki', u'Vasudeva'];[u'the', u'Raja', u'Krishna'];[u'Devaki'];0;0
Tere Mere Sapne;5;3;2;[u'Kothari', u'Dr.', u'Mrs.', u'Anand', u'Nisha'];[u'Kothari', u'Dr.', u'Anand'];[u'Mrs.', u'Nisha'];0;0
Tulsi Vivah;0;0;0;[];[];[];1;1

Upaasna;0;0;0;[];[];[];1;1

Uphaar;5;0;3;[u'Calcutta', u'Anoop', u'Vidya', u'Sharda', u'Minoo'];[];[u'Vidya', u'Sharda', u'Minoo'];0;0
Woh Din Yaad Karo;0;0;0;[];[];[];0;0
Aaj Ki Taaza Khabar;0;0;0;[];[];[];1;1

Aangan;0;0;0;[];[];[];0;0
Aarop;0;0;0;[];[];[];0;0
Abhimaan;0;0;0;[];[];[];1;1

Achanak;3;2;0;[u'Ganges', u'Major', u'Ranjeet'];[u'Major', u'Ranjeet'];[];1;1

Agni Rekha;0;0;0;[];[];[];1;1

Anamika;6;3;2;[u'Anamika', u'Shimla', u'Mrs.', u'Devendra', u'Naresh', u'Rubai'];[u'Devendra', u'Naresh', u'Rubai'];[u'Anamika', u'Mrs.'];1;1

Anhonee;3;2;1;[u'Dr.', u'Rekha', u'Sunil'];[u'Dr.', u'Sunil'];[u'Rekha'];1;1

Anokhi Ada;5;3;1;[u'Lalaji', u'Gupta', u'Neeta', u'Rakesh', u'Gopal'];[u'Gupta', u'Rakesh', u'Gopal'];[u'Neeta'];1;0

Avishkaar;4;2;1;[u'Amar', u'Rita', u'Sunil', u'Mansi'];[u'Amar', u'Sunil'];[u'Rita'];0;0
Bada Kabutar;1;1;0;[u'Bhola'];[u'Bhola'];[];0;0
Banarasi Babu;2;1;1;[u'Neela', u'Sohan'];[u'Sohan'];[u'Neela'];0;0
Bandhe Haath;0;0;0;[];[];[];0;0
Barkha Bahar;0;0;0;[];[];[];0;0
Black Mail;6;5;1;[u'Dr.', u'Mehta', u'Asha', u'Mr.', u'Jeevan', u'Kailash'];[u'Dr.', u'Mehta', u'Mr.', u'Jeevan', u'Kailash'];[u'Asha'];1;1

Bobby;0;0;0;[];[];[];1;1

